Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc
963607849,Blue,300,1,108,31-12-2023,Week-53,Q4,2023,14315,690,9603,56,0.048,Swipe ,Entertainment,598.69,0
932954954,Blue,175,1,96,31-12-2023,Week-53,Q4,2023,5711,0,4325,72,0,Swipe ,Fuel,691.2,0
961650885,Blue,195,0,76,31-12-2023,Week-53,Q4,2023,3104,1766,9353,24,0.569,Swipe ,Travel,216.48,0
917695309,Blue,495,1,72,31-12-2023,Week-53,Q4,2023,2553,1823,3853,69,0.714,Chip ,Grocery,1001.78,0
957309271,Blue,100,0,172,31-12-2023,Week-53,Q4,2023,2476,1944,4025,65,0.785,Chip ,Fuel,845.25,0
967838008,Blue,95,0,117,31-12-2023,Week-53,Q4,2023,13362,0,4155,79,0,Online ,Grocery,1080.3,0
953057861,Blue,400,0,103,31-12-2023,Week-53,Q4,2023,3868,1384,4716,79,0.358,Swipe ,Food,943.2,0
945043270,Blue,335,1,62,31-12-2023,Week-53,Q4,2023,1764,0,8540,47,0,Chip ,Entertainment,794.6,0
947028265,Blue,365,0,115,31-12-2023,Week-53,Q4,2023,26108,1146,3677,70,0.044,Chip ,Entertainment,956.02,0
949911663,Blue,410,1,102,31-12-2023,Week-53,Q4,2023,16199,0,4254,82,0,Chip ,Food,1148.58,0
943996401,Blue,330,0,145,31-12-2023,Week-53,Q4,2023,6162,943,9527,35,0.153,Online ,Bills,259.59,0
929315398,Blue,140,1,119,31-12-2023,Week-53,Q4,2023,13429,1246,3929,66,0.093,Swipe ,Grocery,1060.83,0
943593234,Blue,325,1,104,31-12-2023,Week-53,Q4,2023,8230,1333,7736,84,0.162,Swipe ,Grocery,464.16,0
934327500,Blue,150,1,85,31-12-2023,Week-53,Q4,2023,13349,0,3534,78,0,Swipe ,Entertainment,353.4,0
911454729,Blue,375,0,87,31-12-2023,Week-53,Q4,2023,2646,872,4246,80,0.33,Swipe ,Grocery,509.52,0
935287245,Blue,480,0,79,31-12-2023,Week-53,Q4,2023,5384,1396,4338,75,0.259,Swipe ,Entertainment,390.42,0
961848959,Blue,295,1,48,31-12-2023,Week-53,Q4,2023,2421,1029,2377,56,0.425,Swipe ,Bills,356.55,0
947702871,Blue,110,1,59,31-12-2023,Week-53,Q4,2023,2667,1590,4596,85,0.596,Swipe ,Bills,689.4,0
922362219,Blue,430,1,89,31-12-2023,Week-53,Q4,2023,1438.3,0,2614,49,0,Online ,Grocery,522.8,0
